x,y,label,lane,dose,seed
0.026508097,-2.2337189,0,dpmm-contrastive,w=1,0
-2.3401659,8.259892,4,dpmm-contrastive,w=1,0
-1.1775336,-2.2860076,0,dpmm-contrastive,w=1,0
3.2521098,-0.68645906,0,dpmm-contrastive,w=1,0
2.7262626,-3.252322,2,dpmm-contrastive,w=1,0
-5.8136,8.827166,7,dpmm-contrastive,w=1,0
-5.040698,9.949169,7,dpmm-contrastive,w=1,0
-2.6402643,8.444481,5,dpmm-contrastive,w=1,0
5.234757,3.8273594,1,dpmm-contrastive,w=1,0
5.9303994,4.1860647,1,dpmm-contrastive,w=1,0
3.7114449,0.98323494,8,dpmm-contrastive,w=1,0
-3.4695306,11.368184,7,dpmm-contrastive,w=1,0
-2.5628333,9.23643,5,dpmm-contrastive,w=1,0
-1.5448273,-0.030447444,6,dpmm-contrastive,w=1,0
-2.6665583,7.72836,4,dpmm-contrastive,w=1,0
-2.0464714,-2.0101383,9,dpmm-contrastive,w=1,0
2.0578654,-2.919919,2,dpmm-contrastive,w=1,0
2.7006893,-3.2264392,2,dpmm-contrastive,w=1,0
-1.2070667,0.4690185,8,dpmm-contrastive,w=1,0
-3.2106545,9.520848,5,dpmm-contrastive,w=1,0
-3.8252974,10.770383,8,dpmm-contrastive,w=1,0
3.1995103,-0.88691306,0,dpmm-contrastive,w=1,0
-2.840053,11.332688,7,dpmm-contrastive,w=1,0
-2.9205518,-1.0127026,9,dpmm-contrastive,w=1,0
-2.0230443,4.4790463,4,dpmm-contrastive,w=1,0
-1.21348,0.52762115,2,dpmm-contrastive,w=1,0
-5.130818,9.557992,7,dpmm-contrastive,w=1,0
-2.5520434,8.212448,4,dpmm-contrastive,w=1,0
-3.6093113,9.596738,5,dpmm-contrastive,w=1,0
-3.5913022,9.801998,7,dpmm-contrastive,w=1,0
-4.475449,9.843235,7,dpmm-contrastive,w=1,0
-5.656504,8.5687275,7,dpmm-contrastive,w=1,0
-0.872679,-2.4181376,0,dpmm-contrastive,w=1,0
3.0625641,-0.6087488,0,dpmm-contrastive,w=1,0
-0.16261466,-0.72456706,0,dpmm-contrastive,w=1,0
1.9696916,-2.480216,2,dpmm-contrastive,w=1,0
3.3943107,-2.3641415,8,dpmm-contrastive,w=1,0
-1.1139156,-2.3197598,9,dpmm-contrastive,w=1,0
-2.821151,10.133554,5,dpmm-contrastive,w=1,0
-2.0087683,4.722653,4,dpmm-contrastive,w=1,0
-5.7643147,8.995127,7,dpmm-contrastive,w=1,0
-2.5973973,-1.3422031,6,dpmm-contrastive,w=1,0
-0.5269011,-2.1112113,2,dpmm-contrastive,w=1,0
3.0093093,-2.8829815,0,dpmm-contrastive,w=1,0
-3.1953619,10.5221195,5,dpmm-contrastive,w=1,0
-1.1608598,0.14883848,2,dpmm-contrastive,w=1,0
3.1015668,-3.0461082,0,dpmm-contrastive,w=1,0
-0.30625376,-1.9326245,6,dpmm-contrastive,w=1,0
-5.6956058,8.405921,0,dpmm-contrastive,w=1,0
-2.8457317,7.6718187,4,dpmm-contrastive,w=1,0
-1.8241261,-1.877262,6,dpmm-contrastive,w=1,0
-2.2453692,9.007908,5,dpmm-contrastive,w=1,0
-4.101593,8.805432,5,dpmm-contrastive,w=1,0
-2.305093,8.60728,5,dpmm-contrastive,w=1,0
-4.9115624,9.25414,7,dpmm-contrastive,w=1,0
0.28015986,-1.0395772,6,dpmm-contrastive,w=1,0
-1.780192,-1.7699459,6,dpmm-contrastive,w=1,0
-1.9194196,4.231573,4,dpmm-contrastive,w=1,0
-2.393756,7.909675,4,dpmm-contrastive,w=1,0
3.2101717,-3.6315815,0,dpmm-contrastive,w=1,0
1.2136075,-2.2125025,6,dpmm-contrastive,w=1,0
2.9978902,-3.009703,2,dpmm-contrastive,w=1,0
-3.0600655,7.940271,4,dpmm-contrastive,w=1,0
-5.792764,9.083147,0,dpmm-contrastive,w=1,0
-2.2180543,8.092335,4,dpmm-contrastive,w=1,0
-3.4960117,11.070651,7,dpmm-contrastive,w=1,0
3.3650188,-1.011037,0,dpmm-contrastive,w=1,0
-2.9009132,-1.0832763,6,dpmm-contrastive,w=1,0
-4.919812,9.534175,0,dpmm-contrastive,w=1,0
-2.0245507,5.3171067,4,dpmm-contrastive,w=1,0
0.2799259,-1.1190673,9,dpmm-contrastive,w=1,0
4.2051854,1.823121,8,dpmm-contrastive,w=1,0
-4.681053,9.319703,7,dpmm-contrastive,w=1,0
5.2984476,4.119481,1,dpmm-contrastive,w=1,0
5.2952156,4.0365753,1,dpmm-contrastive,w=1,0
3.3476434,-2.1152158,0,dpmm-contrastive,w=1,0
-2.22578,-1.9510946,9,dpmm-contrastive,w=1,0
-1.8533667,-1.9770552,9,dpmm-contrastive,w=1,0
-2.944706,9.627155,5,dpmm-contrastive,w=1,0
1.6722163,-2.4130611,2,dpmm-contrastive,w=1,0
-2.948424,11.250112,7,dpmm-contrastive,w=1,0
-1.2950877,0.7018637,3,dpmm-contrastive,w=1,0
-1.9537956,4.1250014,4,dpmm-contrastive,w=1,0
-3.927283,11.032328,7,dpmm-contrastive,w=1,0
-0.66389805,-2.1567073,0,dpmm-contrastive,w=1,0
-1.3299638,0.18792053,3,dpmm-contrastive,w=1,0
1.5149804,-2.045024,0,dpmm-contrastive,w=1,0
3.2162304,-3.2275121,8,dpmm-contrastive,w=1,0
-1.9889687,4.597126,4,dpmm-contrastive,w=1,0
-2.5945153,-1.6166232,9,dpmm-contrastive,w=1,0
-5.7107615,9.489746,7,dpmm-contrastive,w=1,0
-2.035156,-0.59268516,6,dpmm-contrastive,w=1,0
3.2827818,-3.6426146,0,dpmm-contrastive,w=1,0
-2.6730506,-0.7531335,9,dpmm-contrastive,w=1,0
4.1321373,1.6972451,8,dpmm-contrastive,w=1,0
-2.3644938,8.465347,5,dpmm-contrastive,w=1,0
5.9768977,4.2202973,1,dpmm-contrastive,w=1,0
-1.7282745,-0.20212306,6,dpmm-contrastive,w=1,0
4.3359704,2.1029775,8,dpmm-contrastive,w=1,0
0.6305759,-2.0468087,9,dpmm-contrastive,w=1,0
2.9429052,-3.2668936,2,dpmm-contrastive,w=1,0
4.9344378,3.2172768,1,dpmm-contrastive,w=1,0
-1.8916185,5.595624,4,dpmm-contrastive,w=1,0
-4.430658,10.59157,7,dpmm-contrastive,w=1,0
-5.172484,9.59276,7,dpmm-contrastive,w=1,0
0.09061504,-1.8564987,9,dpmm-contrastive,w=1,0
-2.744639,-1.3183045,9,dpmm-contrastive,w=1,0
3.196413,-3.6764622,0,dpmm-contrastive,w=1,0
-1.8727832,-1.5876713,6,dpmm-contrastive,w=1,0
